Date,Open,High,Low,Close,Adj Close,Volume
2013-01-03,0.193192,0.193192,0.193192,0.192704,0.192704,0
2013-01-04,0.193547,0.193547,0.193547,0.192230,0.192230,0
2013-01-07,0.191487,0.191487,0.191461,0.194477,0.194477,0
2013-01-08,0.194246,0.194246,0.194058,0.192708,0.192708,0
2013-01-09,0.193821,0.193821,0.193821,0.193607,0.193607,0
2013-01-10,0.192541,0.192905,0.192541,0.193953,0.193953,0
2013-01-11,0.192156,0.192156,0.192156,0.195515,0.195515,0
2013-01-14,0.191802,0.191802,0.191802,0.193364,0.193364,0
2013-01-15,0.192042,0.192042,0.191362,0.191983,0.191983,0
2013-01-16,0.191303,0.192448,0.191303,0.191073,0.191073,0
2013-01-17,0.192448,0.192448,0.192448,0.192108,0.192108,0
2013-01-18,0.191549,0.191549,0.191549,0.192712,0.192712,0
2013-01-21,0.191088,0.191088,0.190661,0.191088,0.191088,0
2013-01-22,0.190971,0.190971,0.190971,0.190734,0.190734,0
2013-01-23,0.191847,0.191847,0.191847,0.190749,0.190749,0
2013-01-24,0.192005,0.192005,0.192005,0.191380,0.191380,0
2013-01-25,0.191121,0.191121,0.191121,0.192649,0.192649,0
2013-01-28,0.191011,0.191011,0.191011,0.191428,0.191428,0
2013-01-29,0.189372,0.189505,0.189372,0.191135,0.191135,0
2013-01-30,0.188292,0.188292,0.188292,0.190194,0.190194,0
2013-01-31,0.187413,0.187413,0.187413,0.188605,0.188605,0
2013-02-01,0.188523,0.188523,0.188523,0.187793,0.187793,0
2013-02-04,0.188285,0.190317,0.188274,0.188512,0.188512,0
2013-02-05,0.190364,0.190364,0.189559,0.189645,0.189645,0
2013-02-06,0.189183,0.189183,0.189047,0.190614,0.190614,0
2013-02-07,0.190771,0.190771,0.190771,0.189065,0.189065,0
2013-02-08,0.191406,0.191406,0.191406,0.188310,0.188310,0
2013-02-11,0.191487,0.191487,0.191487,0.190676,0.190676,0
2013-02-12,0.190942,0.190942,0.190942,0.191630,0.191630,0
2013-02-13,0.190299,0.190299,0.190299,0.191164,0.191164,0
2013-02-14,0.189970,0.189970,0.189970,0.189624,0.189624,0
2013-02-15,0.190956,0.190956,0.190956,0.190483,0.190483,0
2013-02-18,0.191088,0.191135,0.190661,0.191545,0.191545,0
2013-02-19,0.191194,0.191194,0.191194,0.190690,0.190690,0
2013-02-20,0.190734,0.190734,0.190734,0.191928,0.191928,0
2013-02-21,0.188140,0.190436,0.188097,0.189372,0.189372,0
2013-02-22,0.190378,0.190378,0.190378,0.190596,0.190596,0
2013-02-25,0.189984,0.189984,0.189984,0.190640,0.190640,0
2013-02-26,0.189104,0.189104,0.189104,0.187031,0.187031,0
2013-02-27,0.189261,0.189261,0.189261,0.188915,0.188915,0
2013-02-28,0.189915,0.189915,0.189915,0.189609,0.189609,0
2013-03-01,0.189692,0.189692,0.189692,0.189082,0.189082,0
2013-03-04,0.189804,0.189804,0.189804,0.189807,0.189807,0
2013-03-05,0.189004,0.189004,0.189004,0.190190,0.190190,0
2013-03-06,0.188793,0.188865,0.188793,0.189168,0.189168,0
2013-03-07,0.189344,0.189344,0.189344,0.187935,0.187935,0
2013-03-08,0.189075,0.189075,0.189075,0.190538,0.190538,0
2013-03-11,0.187741,0.189372,0.187741,0.187568,0.187568,0
2013-03-12,0.189276,0.189276,0.189276,0.189872,0.189872,0
2013-03-13,0.188196,0.188196,0.188196,0.189563,0.189563,0
2013-03-14,0.188172,0.188172,0.188172,0.187547,0.187547,0
2013-03-15,0.188065,0.188065,0.188065,0.189509,0.189509,0
2013-03-18,0.188249,0.188249,0.188249,0.188292,0.188292,0
2013-03-19,0.187712,0.187712,0.187712,0.188310,0.188310,0
2013-03-20,0.186867,0.186867,0.186867,0.186543,0.186543,0
2013-03-21,0.186937,0.186937,0.186937,0.187189,0.187189,0
2013-03-22,0.187066,0.187066,0.187066,0.186550,0.186550,0
2013-03-25,0.187175,0.187175,0.187175,0.187656,0.187656,0
2013-03-26,0.186341,0.186341,0.186341,0.185250,0.185250,0
2013-03-27,0.186282,0.186334,0.186282,0.186407,0.186407,0
2013-03-28,0.187077,0.187077,0.187077,0.186487,0.186487,0
2013-03-29,0.187077,0.187108,0.187077,0.186487,0.186487,0
2013-04-01,0.187213,0.187213,0.187213,0.187115,0.187115,0
2013-04-02,0.186227,0.186227,0.186227,0.187213,0.187213,0
2013-04-03,0.186161,0.186161,0.186161,0.186036,0.186036,0
2013-04-04,0.186888,0.186888,0.186888,0.186564,0.186564,0
2013-04-05,0.186905,0.186905,0.186905,0.188733,0.188733,0
2013-04-08,0.186982,0.186982,0.186982,0.186905,0.186905,0
2013-04-09,0.187185,0.187185,0.186850,0.186874,0.186874,0
2013-04-10,0.187903,0.187903,0.187903,0.187512,0.187512,0
2013-04-11,0.188044,0.188044,0.188044,0.187480,0.187480,0
2013-04-12,0.190767,0.190767,0.190767,0.187614,0.187614,0
2013-04-15,0.189692,0.189789,0.189534,0.191472,0.191472,0
2013-04-16,0.189007,0.189469,0.189007,0.189229,0.189229,0
2013-04-17,0.189025,0.189025,0.189025,0.190074,0.190074,0
2013-04-18,0.188186,0.188221,0.188182,0.187463,0.187463,0
2013-04-19,0.188235,0.188235,0.187995,0.187741,0.187741,0
2013-04-22,0.187628,0.187698,0.187628,0.187557,0.187557,0
2013-04-23,0.187540,0.187547,0.187540,0.187935,0.187935,0
2013-04-24,0.187217,0.187217,0.187217,0.187624,0.187624,0
2013-04-25,0.187399,0.187399,0.187329,0.187164,0.187164,0
2013-04-26,0.186598,0.187175,0.186598,0.186498,0.186498,0
2013-04-29,0.188669,0.188669,0.188669,0.187600,0.187600,0
2013-04-30,0.190353,0.190353,0.190353,0.188847,0.188847,0
2013-05-01,0.190909,0.190909,0.190909,0.191692,0.191692,0
2013-05-02,0.189459,0.189459,0.189459,0.190549,0.190549,0
2013-05-03,0.189627,0.189627,0.189627,0.187966,0.187966,0
2013-05-06,0.189746,0.189746,0.189746,0.189649,0.189649,0
2013-05-07,0.189789,0.189789,0.189789,0.189329,0.189329,0
2013-05-08,0.189725,0.189725,0.189725,0.189068,0.189068,0
2013-05-09,0.189552,0.189552,0.189552,0.190129,0.190129,0
2013-05-10,0.189667,0.189980,0.189667,0.188030,0.188030,0
2013-05-13,0.189398,0.189491,0.188968,0.189538,0.189538,0
2013-05-14,0.188850,0.188850,0.188850,0.188875,0.188875,0
2013-05-15,0.188140,0.188140,0.188140,0.188285,0.188285,0
2013-05-16,0.188264,0.188264,0.188264,0.188409,0.188409,0
2013-05-17,0.187973,0.187973,0.187973,0.188576,0.188576,0
2013-05-20,0.188097,0.188097,0.188097,0.187638,0.187638,0
2013-05-21,0.188626,0.188626,0.188626,0.188480,0.188480,0
2013-05-22,0.190386,0.190386,0.190386,0.189247,0.189247,0
2013-05-23,0.190060,0.190060,0.190060,0.189294,0.189294,0
2013-05-24,0.191132,0.191132,0.190676,0.190741,0.190741,0
2013-05-27,0.189689,0.189689,0.189689,0.190215,0.190215,0
